tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt0114709,Toy Story,1995,"['Adventure', 'Animation', 'Comedy']","['nm0000158', 'nm0000741', 'nm0725543', 'nm0001815', 'nm0001728']",81,8.3,English,United States,1172423,30.0,401.2,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him."
tt0435761,Toy Story 3,2010,"['Adventure', 'Animation', 'Comedy']","['nm0000158', 'nm0000741', 'nm0000885', 'nm0725543', 'nm0000474']",103,8.3,English,United States,968594,200.0,1067.0,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
tt1745960,Top Gun: Maverick,2022,"['Action', 'Drama']","['nm0000129', 'nm1886602', 'nm0000174', 'nm1506981', 'nm0358316']",130,8.2,English,United States,857407,173.5,1496.0,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
tt0117951,Trainspotting,1996,"['Crime', 'Drama']","['nm0000191', 'nm0001971', 'nm0001538', 'nm0571727', 'nm0001015']",93,8.1,English Scots,United Kingdom,768535,1.5,60.0,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
tt0418279,Transformers,2007,"['Action', 'Adventure', 'Sci-Fi']","['nm0479471', 'nm0241049', 'nm0879085', 'nm0026364', 'nm0000685']",144,7.1,English,United States,717934,172.5,709.7,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
tt0120363,Toy Story 2,1999,"['Adventure', 'Animation', 'Comedy']","['nm0000158', 'nm0000741', 'nm0001288', 'nm0725543', 'nm0001815']",92,7.9,English,United States,669146,90.0,511.4,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
tt0332452,Troy,2004,"['Action', 'Adventure', 'Drama']","['nm0000093', 'nm0051509', 'nm0089217', 'nm0002103', 'nm0004051']",163,7.3,English,United States United Kingdom Mexico Malta,614809,180.0,497.4,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces."
tt0092099,Top Gun,1986,"['Action', 'Drama']","['nm0000129', 'nm0000209', 'nm0000174', 'nm0000381', 'nm0000643']",110,7.0,English,United States,550880,14.0,357.4,"The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying skills. When hotshot fighter pilot Maverick is sent to the school, his reckless attitude and cocky demeanor put him at odds ..."
tt1099212,Twilight,2008,"['Drama', 'Fantasy', 'Romance']","['nm1500155', 'nm0121605', 'nm1140952', 'nm0083655', 'nm1210124']",122,5.4,English,United States,526115,37.0,412.0,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire."
tt0139654,Training Day,2001,"['Crime', 'Drama', 'Thriller']","['nm0000243', 'nm0000160', 'nm0001277', 'nm0000297', 'nm0950867']",122,7.8,English,United States,516688,45.0,104.9,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
